,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Concat
0,k403,Ramicane,Male,21,16,0,45.0,0,k403-0
1,k403,Ramicane,Male,21,16,5,38.82589807,0,k403-5
2,k403,Ramicane,Male,21,16,10,35.01427146,1,k403-10
3,k403,Ramicane,Male,21,16,15,34.22399174,1,k403-15
4,k403,Ramicane,Male,21,16,20,32.99772858,1,k403-20
5,k403,Ramicane,Male,21,16,25,33.46457735,1,k403-25
6,k403,Ramicane,Male,21,16,30,31.09949753,1,k403-30
7,k403,Ramicane,Male,21,16,35,26.54699343,1,k403-35
8,k403,Ramicane,Male,21,16,40,24.36550471,1,k403-40
9,k403,Ramicane,Male,21,16,45,22.05012627,1,k403-45
10,s185,Capomulin,Female,3,17,0,45.0,0,s185-0
11,s185,Capomulin,Female,3,17,5,43.87849569,0,s185-5
12,s185,Capomulin,Female,3,17,10,37.61494768,0,s185-10
13,s185,Capomulin,Female,3,17,15,38.17723195,0,s185-15
14,s185,Capomulin,Female,3,17,20,36.86687576,0,s185-20
15,s185,Capomulin,Female,3,17,25,33.94994037,0,s185-25
16,s185,Capomulin,Female,3,17,30,32.95967078,1,s185-30
17,s185,Capomulin,Female,3,17,35,28.32853059,1,s185-35
18,s185,Capomulin,Female,3,17,40,25.47214326,1,s185-40
19,s185,Capomulin,Female,3,17,45,23.34359787,1,s185-45
20,x401,Capomulin,Female,16,15,0,45.0,0,x401-0
21,x401,Capomulin,Female,16,15,5,45.47375302,0,x401-5
22,x401,Capomulin,Female,16,15,10,39.11389068,0,x401-10
23,x401,Capomulin,Female,16,15,15,39.77625003,0,x401-15
24,x401,Capomulin,Female,16,15,20,36.06583471,0,x401-20
25,x401,Capomulin,Female,16,15,25,36.61712031,0,x401-25
26,x401,Capomulin,Female,16,15,30,32.91529186,0,x401-30
27,x401,Capomulin,Female,16,15,35,30.20682488,0,x401-35
28,x401,Capomulin,Female,16,15,40,28.16739732,0,x401-40
29,x401,Capomulin,Female,16,15,45,28.48403281,0,x401-45
30,m601,Capomulin,Male,22,17,0,45.0,0,m601-0
31,m601,Capomulin,Male,22,17,5,41.40859145,1,m601-5
32,m601,Capomulin,Male,22,17,10,36.82536664,1,m601-10
33,m601,Capomulin,Male,22,17,15,35.46461175,1,m601-15
34,m601,Capomulin,Male,22,17,20,34.255731700000005,1,m601-20
35,m601,Capomulin,Male,22,17,25,33.11875607,1,m601-25
36,m601,Capomulin,Male,22,17,30,31.75827491,1,m601-30
37,m601,Capomulin,Male,22,17,35,30.83435704,1,m601-35
38,m601,Capomulin,Male,22,17,40,31.378045299999997,1,m601-40
39,m601,Capomulin,Male,22,17,45,28.43096411,1,m601-45
40,g791,Ramicane,Male,11,16,0,45.0,0,g791-0
41,g791,Ramicane,Male,11,16,5,45.85153062,0,g791-5
42,g791,Ramicane,Male,11,16,10,40.17055848,0,g791-10
43,g791,Ramicane,Male,11,16,15,40.67812852,0,g791-15
44,g791,Ramicane,Male,11,16,20,41.211897,0,g791-20
45,g791,Ramicane,Male,11,16,25,35.56939935,1,g791-25
46,g791,Ramicane,Male,11,16,30,34.95258284,1,g791-30
47,g791,Ramicane,Male,11,16,35,30.96039194,1,g791-35
48,g791,Ramicane,Male,11,16,40,31.36940573,1,g791-40
49,g791,Ramicane,Male,11,16,45,29.12847181,1,g791-45
50,s508,Ramicane,Male,1,17,0,45.0,0,s508-0
51,s508,Ramicane,Male,1,17,5,38.71187185,0,s508-5
52,s508,Ramicane,Male,1,17,10,34.850997899999996,0,s508-10
53,s508,Ramicane,Male,1,17,15,35.27690634,0,s508-15
54,s508,Ramicane,Male,1,17,20,35.92865083,0,s508-20
55,s508,Ramicane,Male,1,17,25,36.33856894,0,s508-25
