,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Concat
0,k403,Ramicane,Male,21,16,45,22.05012627,1,k403-45
1,s185,Capomulin,Female,3,17,45,23.34359787,1,s185-45
2,x401,Capomulin,Female,16,15,45,28.48403281,0,x401-45
3,m601,Capomulin,Male,22,17,45,28.43096411,1,m601-45
4,g791,Ramicane,Male,11,16,45,29.12847181,1,g791-45
5,s508,Ramicane,Male,1,17,45,30.27623175,0,s508-45
6,f966,Capomulin,Male,16,17,20,30.48598484,0,f966-20
7,m546,Ramicane,Male,18,16,45,30.56462509,1,m546-45
8,z578,Ramicane,Male,11,16,45,30.63869575,0,z578-45
9,j913,Ramicane,Female,4,17,45,31.56046955,1,j913-45
10,u364,Capomulin,Male,18,17,45,31.02392294,3,u364-45
11,n364,Ramicane,Male,4,17,45,31.09533505,1,n364-45
12,y793,Capomulin,Male,17,17,45,31.896238399999998,2,y793-45
13,r554,Capomulin,Female,8,17,45,32.37735684,3,r554-45
14,m957,Capomulin,Female,3,19,45,33.32909778,1,m957-45
15,c758,Ramicane,Male,9,17,45,33.39765251,1,c758-45
16,t565,Capomulin,Female,20,17,45,34.45529799,0,t565-45
17,a644,Ramicane,Female,7,17,45,32.97852192,1,a644-45
18,i177,Ramicane,Male,10,18,45,33.56240217,3,i177-45
19,j989,Ramicane,Male,8,19,45,36.13485243,1,j989-45
20,i738,Capomulin,Female,23,20,45,37.31184577,2,i738-45
21,a520,Ramicane,Male,13,21,45,38.81036633,1,a520-45
22,w914,Capomulin,Male,24,21,45,36.04104736,2,w914-45
23,r811,Ramicane,Male,9,19,45,37.22565033,1,r811-45
24,g288,Capomulin,Male,3,19,45,37.07402422,1,g288-45
25,i334,Ramicane,Female,8,20,45,36.37451039,2,i334-45
26,q610,Ramicane,Female,18,21,35,36.56165229,2,q610-35
27,d251,Ramicane,Female,8,19,45,37.31123552,2,d251-45
28,l897,Capomulin,Male,17,19,45,38.84687569,1,l897-45
29,c458,Ramicane,Female,23,20,30,38.34200823,2,c458-30
30,b742,Capomulin,Male,7,21,45,38.93963263,0,b742-45
31,b128,Capomulin,Female,9,22,45,38.98287774,2,b128-45
32,j246,Capomulin,Female,21,21,35,38.75326548,1,j246-35
33,a411,Ramicane,Male,3,22,45,38.407618299999996,1,a411-45
34,j119,Capomulin,Female,7,23,45,38.125164399999996,1,j119-45
35,w150,Capomulin,Male,23,23,10,39.95234669,0,w150-10
36,v923,Capomulin,Female,19,21,45,40.65812366,2,v923-45
37,g316,Capomulin,Female,22,22,45,40.1592203,2,g316-45
38,s710,Capomulin,Female,1,23,45,40.72857787,1,s710-45
39,l509,Capomulin,Male,17,21,45,41.48300765,3,l509-45
40,r944,Capomulin,Male,12,25,45,41.58152074,2,r944-45
41,e662,Ramicane,Male,8,24,45,40.65900627,2,e662-45
42,u196,Ramicane,Male,18,25,45,40.66771292,3,u196-45
43,q597,Ramicane,Male,20,25,45,45.22086888,2,q597-45
44,a444,Ramicane,Female,10,25,45,43.04754260000001,0,a444-45
45,i557,Capomulin,Female,1,24,45,47.68596303,1,i557-45
46,r921,Ramicane,Female,5,25,30,43.41938077,1,r921-30
47,w678,Ramicane,Female,5,24,5,43.16637266,0,w678-5
48,y449,Ramicane,Male,19,24,15,44.18345092,0,y449-15
49,a203,Infubinol,Female,20,23,45,67.97341878,2,a203-45
50,a251,Infubinol,Female,21,25,45,65.52574285,1,a251-45
51,a262,Placebo,Female,17,29,45,70.71762058,4,a262-45
52,a275,Ceftamin,Female,20,28,45,62.99935619,3,a275-45
53,a366,Stelasyn,Female,16,29,30,63.44068627,1,a366-30
54,a401,Zoniferol,Female,8,25,45,66.79415599,4,a401-45
55,a457,Ketapril,Female,11,30,10,49.78341894,0,a457-10
56,a492,Stelasyn,Male,20,25,45,60.12201052,1,a492-45
57,a577,Infubinol,Female,6,25,30,57.03186187,2,a577-30
58,a685,Infubinol,Male,8,30,45,66.08306589,3,a685-45
59,a699,Propriva,Female,5,28,45,62.19141437,1,a699-45
60,a788,Zoniferol,Male,5,30,30,60.41370908,1,a788-30
61,a818,Naftisol,Female,12,28,45,74.99776443,2,a818-45
62,a897,Placebo,Male,7,28,45,72.25596306,4,a897-45
63,a963,Stelasyn,Female,23,27,45,62.76509317,1,a963-45
64,b313,Zoniferol,Male,12,27,25,55.74514628,1,b313-25
65,b447,Ceftamin,Male,2,30,0,45.0,0,b447-0
66,b487,Ceftamin,Female,6,28,25,56.05774909,1,b487-25
67,b559,Naftisol,Male,20,26,45,73.05136339,1,b559-45
68,b759,Ceftamin,Female,12,25,30,55.74282869,1,b759-30
69,b879,Stelasyn,Female,4,26,45,72.55523894,2,b879-45
70,c139,Infubinol,Male,11,28,45,72.2267309,2,c139-45
71,c264,Zoniferol,Female,11,27,45,67.94212107,2,c264-45
72,c282,Placebo,Male,12,27,45,65.81516535,2,c282-45
73,c302,Zoniferol,Female,10,29,45,64.57522157,4,c302-45
74,c326,Infubinol,Female,18,25,5,36.321345799999996,0,c326-5
75,c402,Stelasyn,Female,1,27,45,74.04039018,3,c402-45
76,c559,Zoniferol,Female,19,28,45,61.84005842,4,c559-45
77,c580,Ketapril,Male,22,25,30,58.04656941,3,c580-30
78,c757,Placebo,Male,9,27,45,69.04284082,3,c757-45
79,c766,Placebo,Female,13,26,45,69.82314577,4,c766-45
80,c819,Ketapril,Male,21,25,40,62.17570465,1,c819-40
81,c832,Ketapril,Male,18,29,45,65.41595451,3,c832-45
82,c895,Infubinol,Female,7,29,30,60.96971133,2,c895-30
83,c927,Propriva,Female,4,26,40,64.18322918,4,c927-40
84,d133,Zoniferol,Male,5,30,0,45.0,0,d133-0
85,d164,Zoniferol,Male,21,28,10,47.47464468,1,d164-10
86,d474,Ketapril,Male,18,27,40,60.23373278,1,d474-40
87,e213,Naftisol,Male,8,27,45,63.1056963,4,e213-45
88,e227,Placebo,Male,1,30,45,73.21293851,3,e227-45
89,e291,Naftisol,Female,14,29,25,55.1389525,2,e291-25
90,e476,Infubinol,Male,23,26,45,62.43540402,1,e476-45
91,e584,Naftisol,Male,9,27,45,68.3597767,4,e584-45
92,f129,Zoniferol,Female,11,29,15,49.98830246,1,f129-15
93,f234,Stelasyn,Male,14,28,35,57.74875831,2,f234-35
94,f278,Ketapril,Male,12,30,5,48.19457788,0,f278-5
95,f345,Infubinol,Male,23,26,45,60.91876652,1,f345-45
96,f394,Zoniferol,Male,19,30,5,47.03309963,0,f394-5
97,f436,Ceftamin,Female,3,25,15,48.72207785,2,f436-15
98,f545,Zoniferol,Female,20,26,45,73.32443228,1,f545-45
99,f932,Ketapril,Male,15,29,0,45.0,0,f932-0
100,f993,Naftisol,Male,21,28,20,52.07951009,1,f993-20
101,g107,Ketapril,Female,2,29,35,71.90511721,0,g107-35
102,g296,Zoniferol,Female,14,29,45,68.16319517,4,g296-45
103,g497,Ketapril,Male,19,28,45,69.87225079,2,g497-45
104,g558,Propriva,Male,8,29,40,61.77496268,4,g558-40
105,g570,Propriva,Male,16,29,45,70.49278763,2,g570-45
106,g867,Stelasyn,Female,9,25,15,51.06041924,1,g867-15
107,h246,Ketapril,Male,13,30,45,74.10408567,2,h246-45
108,h333,Stelasyn,Male,21,27,30,55.45528975,2,h333-30
109,h428,Ketapril,Female,1,27,0,45.0,0,h428-0
110,h531,Ceftamin,Male,5,27,5,47.784681799999994,0,h531-5
111,i386,Infubinol,Female,23,29,40,67.28962147,4,i386-40
112,i477,Placebo,Female,3,30,10,47.52063206,0,i477-10
113,i635,Propriva,Male,21,26,45,58.63340414,3,i635-45
114,i669,Placebo,Female,18,27,25,53.30318455,2,i669-25
115,i901,Stelasyn,Male,23,29,45,65.34181087,0,i901-45
116,j235,Placebo,Male,6,30,20,52.94290169,1,j235-20
117,j296,Ceftamin,Female,24,30,45,61.84902336,3,j296-45
118,j365,Zoniferol,Male,24,28,45,64.29408493,2,j365-45
119,j755,Naftisol,Male,23,27,45,69.56362076,1,j755-45
120,j984,Stelasyn,Female,2,30,45,70.65383162,1,j984-45
121,k210,Ceftamin,Male,15,28,45,68.92318457,3,k210-45
122,k382,Ketapril,Male,22,29,45,73.71561899999999,4,k382-45
123,k483,Infubinol,Female,20,30,45,66.19691151,3,k483-45
124,k510,Stelasyn,Female,8,27,20,52.10557382,1,k510-20
125,k603,Propriva,Male,2,27,20,50.18010935,0,k603-20
126,k754,Zoniferol,Female,8,26,20,52.69342276,1,k754-20
127,k804,Infubinol,Female,23,29,35,62.11727887,2,k804-35
128,k862,Stelasyn,Female,13,25,45,69.29914907,4,k862-45
129,k894,Zoniferol,Female,13,29,45,60.75270417,4,k894-45
130,l215,Propriva,Male,10,29,10,53.653969599999996,1,l215-10
131,l264,Ketapril,Female,15,30,10,50.65958094,0,l264-10
132,l471,Ceftamin,Female,7,28,45,67.74866174,1,l471-45
133,l490,Ceftamin,Male,24,26,30,57.91838132,3,l490-30
134,l558,Ceftamin,Female,13,30,10,46.78453491,0,l558-10
135,l661,Ceftamin,Male,18,26,45,59.85195552,3,l661-45
136,l700,Naftisol,Female,18,27,45,63.94664044,1,l700-45
137,l725,Naftisol,Female,8,26,45,76.66881742,3,l725-45
138,l733,Ceftamin,Female,4,30,45,64.29983003,1,l733-45
139,l872,Placebo,Male,19,30,0,45.0,0,l872-0
140,m133,Naftisol,Female,2,26,25,54.08243662,2,m133-25
141,m269,Stelasyn,Female,22,28,45,75.12368955,1,m269-45
142,m331,Zoniferol,Female,19,26,15,52.11008758,1,m331-15
143,m550,Ketapril,Male,18,28,45,69.25350312,4,m550-45
144,m650,Ketapril,Male,15,27,45,73.90139912,4,m650-45
145,m756,Infubinol,Male,19,30,5,47.01036401,1,m756-5
146,n304,Naftisol,Male,9,26,45,63.58639514,4,n304-45
147,n482,Propriva,Female,4,29,0,45.0,0,n482-0
148,n630,Propriva,Female,15,29,5,46.09909969,0,n630-5
149,n671,Infubinol,Male,18,25,30,60.16518046,0,n671-30
150,n678,Propriva,Male,5,29,10,49.14570866,1,n678-10
151,n763,Placebo,Female,16,25,40,58.01114583,4,n763-40
152,n923,Ketapril,Male,19,30,40,66.22960554,3,n923-40
153,n967,Zoniferol,Male,11,27,15,49.82500362,1,n967-15
154,o287,Ceftamin,Male,2,28,45,59.74190064,4,o287-45
155,o302,Placebo,Female,2,29,30,62.03059364,1,o302-30
156,o331,Ketapril,Male,24,30,45,78.56701362,4,o331-45
157,o523,Propriva,Female,6,25,10,47.0810859,1,o523-10
158,o562,Propriva,Female,4,25,45,72.45542116,2,o562-45
159,o725,Naftisol,Male,4,26,15,50.01507902,1,o725-15
160,o795,Placebo,Female,20,26,45,73.05945435,4,o795-45
161,o809,Infubinol,Male,3,25,35,55.62942846,1,o809-35
162,o813,Infubinol,Male,24,28,5,45.69933088,0,o813-5
163,o848,Stelasyn,Female,14,27,0,45.0,0,o848-0
164,o926,Zoniferol,Male,15,29,45,62.32796606,4,o926-45
165,o973,Ketapril,Female,11,29,40,64.48781246,2,o973-40
166,p136,Zoniferol,Female,5,28,45,63.48869678,2,p136-45
167,p189,Ketapril,Male,8,28,45,75.2949359,4,p189-45
168,p310,Propriva,Male,6,26,25,55.34183416,2,p310-25
169,p387,Stelasyn,Male,3,30,40,69.03887618,1,p387-40
170,p438,Ceftamin,Female,11,26,45,61.43389223,1,p438-45
171,p981,Stelasyn,Male,20,29,35,59.13102297,1,p981-35
172,q119,Ketapril,Male,17,30,10,51.23660557,0,q119-10
173,q132,Infubinol,Female,1,30,30,54.65654872,4,q132-30
174,q483,Ceftamin,Male,6,26,40,64.19234114,1,q483-40
175,q511,Zoniferol,Female,2,28,45,68.61106075,3,q511-45
176,q582,Placebo,Male,5,30,35,53.71315792,2,q582-35
177,q633,Zoniferol,Male,12,25,45,70.82779631,2,q633-45
178,q787,Placebo,Male,17,27,45,66.09647477,3,q787-45
179,r107,Propriva,Female,2,28,30,58.40647256,1,r107-30
180,r157,Capomulin,Male,22,25,15,46.53920617,0,r157-15
181,r604,Naftisol,Male,7,30,45,62.67075904,3,r604-45
182,r701,Naftisol,Male,21,25,45,69.77854407,1,r701-45
183,r850,Placebo,Male,5,30,15,50.21860469,1,r850-15
184,s121,Infubinol,Male,23,26,25,55.65068132,2,s121-25
185,s141,Propriva,Male,8,25,30,55.84141007,1,s141-30
186,s152,Placebo,Female,4,30,25,64.11914213,2,s152-25
187,s166,Placebo,Male,19,27,10,49.00012468,0,s166-10
188,s187,Propriva,Male,22,25,30,60.00878263,2,s187-30
189,s337,Zoniferol,Male,14,27,45,62.10965102,4,s337-45
190,s565,Stelasyn,Female,3,29,45,72.58896447,2,s565-45
191,s619,Stelasyn,Male,22,30,5,46.60226878,0,s619-5
192,t198,Propriva,Male,22,26,45,64.91136268,4,t198-45
193,t451,Stelasyn,Male,8,29,45,68.7116302,1,t451-45
194,t573,Ceftamin,Female,15,27,0,45.0,0,t573-0
195,t718,Placebo,Female,10,30,45,63.42369517,4,t718-45
196,t724,Naftisol,Female,2,25,45,75.11328801,2,t724-45
197,t994,Placebo,Male,14,30,20,56.52795159,1,t994-20
198,u149,Ceftamin,Male,24,29,25,52.92534846,0,u149-25
199,u153,Ceftamin,Female,11,25,0,45.0,0,u153-0
200,u327,Ketapril,Male,17,25,45,66.26880133,2,u327-45
201,u946,Propriva,Male,5,30,20,49.11004966,1,u946-20
202,v199,Naftisol,Female,17,29,0,45.0,0,v199-0
203,v289,Ketapril,Female,3,26,25,56.72009545,0,v289-25
204,v295,Naftisol,Female,2,27,40,65.46607444,3,v295-40
205,v339,Infubinol,Male,20,26,5,46.25011212,0,v339-5
206,v409,Placebo,Female,16,25,10,50.64903842,1,v409-10
207,v603,Ketapril,Female,22,30,35,63.18943184,1,v603-35
208,v719,Infubinol,Female,17,30,20,54.04860769,1,v719-20
209,v764,Stelasyn,Female,5,30,15,49.41262418,2,v764-15
210,v766,Infubinol,Male,16,27,15,51.54243058,1,v766-15
211,v835,Naftisol,Male,7,29,20,51.29654266,2,v835-20
212,v989,Placebo,Male,4,25,10,52.61468889,1,v989-10
213,v991,Propriva,Female,10,30,45,70.16774899,4,v991-45
214,w140,Zoniferol,Female,19,30,5,47.71795156,0,w140-5
215,w151,Ceftamin,Male,24,25,45,67.52748237,3,w151-45
216,w167,Placebo,Female,6,28,35,68.13428817,0,w167-35
217,w193,Infubinol,Male,22,30,20,50.00513807,0,w193-20
218,w350,Propriva,Male,7,26,45,64.95756185,2,w350-45
219,w422,Ketapril,Female,18,26,45,67.98953001,4,w422-45
220,w540,Stelasyn,Female,8,26,25,52.60026955,2,w540-25
221,w575,Zoniferol,Female,16,28,45,68.40128593,3,w575-45
222,w584,Infubinol,Male,3,29,30,58.26844248,1,w584-30
223,w697,Stelasyn,Female,14,30,35,63.68904216,3,w697-35
224,w746,Propriva,Male,1,26,5,49.45327005,0,w746-5
225,x111,Propriva,Female,24,27,10,49.12296898,1,x111-10
226,x209,Propriva,Female,7,29,10,48.92989543,0,x209-10
227,x226,Ceftamin,Male,23,28,0,45.0,0,x226-0
228,x264,Naftisol,Female,21,27,40,63.28328821,4,x264-40
229,x336,Naftisol,Female,4,29,0,45.0,0,x336-0
230,x402,Stelasyn,Male,21,28,45,61.61960615,3,x402-45
231,x581,Ceftamin,Female,19,28,45,64.63494887,3,x581-45
232,x613,Zoniferol,Female,2,29,15,48.0776464,0,x613-15
233,x773,Placebo,Female,21,30,45,58.63497149,4,x773-45
234,x822,Ceftamin,Male,3,29,45,61.38666032,3,x822-45
235,x930,Naftisol,Male,13,26,25,53.72610129999999,0,x930-25
236,y163,Infubinol,Female,17,27,45,67.68556862,3,y163-45
237,y260,Ketapril,Female,7,25,45,62.90944062,4,y260-45
238,y478,Placebo,Female,3,25,45,66.84263453,1,y478-45
